spurlative
test;testest
thermal;most thermal
thin;thinnest
tint;tintest
tip;tippest
tolerate;most tolerate
toluene;toluenest
toner;tonerest
tone;tonest
toning;most toning
touch;touchest
transparent;most transparent
tweezer;tweezerest
ultrum;most ultrum
uv;uvest
uva;most uva
uvb;uvbest
vanilla;most vanilla
velvety;most velvety
visibility;most visibility
visibly;most visibly
vitamin;most vitamin
vitamin;most vitamin
volumizing;most volumizing
washable;washablest
water;waterest
waterproof;most waterproof
wavy;waviest
wax;waxxest
wax;waxxest
weigh;weighest
weightless;most weightless
wet;wettest
whether;whetherest
wipe;wipest
without;most without
wooden;most wooden
wrinkle;wrinklest
wrinkle;wrinklest
